"id","batch_id","user_id","name","actionable_type","actionable_id","target_type","target_id","model_type","model_id","fields","status","exception","created_at","updated_at","original","changes"
"1","91b616ae-431b-4859-9ebb-b3bbfd1f3cf8","1","Update","App\Website","1","App\Website","1","App\Website","1",,"finished",,"2020-10-07 23:15:05","2020-10-07 23:15:05","[]","[]"
"2","91b7dcfc-4da7-4124-9f6d-13b241bba534","1","Update","App\Website","1","App\Website","1","App\Website","1",,"finished",,"2020-10-08 20:25:25","2020-10-08 20:25:25","[]","[]"
"3","91b8e23a-3f23-4072-9803-90d104c46e01","1","Update","App\Chapter","1","App\Chapter","1","App\Chapter","1",,"finished",,"2020-10-09 08:35:54","2020-10-09 08:35:54","[]","[]"
"4","91b8e373-06d7-4fd0-9615-a44a3f3396bb","1","Update","App\Chapter","3","App\Chapter","3","App\Chapter","3",,"finished",,"2020-10-09 08:39:19","2020-10-09 08:39:19","[]","[]"
"5","91b8e3e7-2db8-4f3f-b9a8-69a204211ca1","1","Update","App\Chapter","2","App\Chapter","2","App\Chapter","2",,"finished",,"2020-10-09 08:40:35","2020-10-09 08:40:35","[]","[]"
"6","91b8e44f-ac9a-43d4-a336-91e787d3cfc3","1","Update","App\Chapter","3","App\Chapter","3","App\Chapter","3",,"finished",,"2020-10-09 08:41:44","2020-10-09 08:41:44","[]","[]"
"7","91b8e479-afc7-49d1-8e91-a0581a2048bd","1","Update","App\Chapter","3","App\Chapter","3","App\Chapter","3",,"finished",,"2020-10-09 08:42:11","2020-10-09 08:42:11","[]","[]"
"8","91b9f95e-fc81-4a53-b3db-96c92bcfe278","1","Update","App\Video","33","App\Video","33","App\Video","33",,"finished",,"2020-10-09 21:36:27","2020-10-09 21:36:27","{""title"":""Extending default Nova UI Components""}","{""title"":""Reusing default Nova UI Components""}"
"9","91bae30f-61a2-4ceb-a82f-48cd05a68f5b","1","Update","App\Video","32","App\Video","32","App\Video","32",,"finished",,"2020-10-10 08:29:53","2020-10-10 08:29:53","{""duration"":null,""vimeo_id"":null}","{""duration"":896,""vimeo_id"":""466816763""}"
"10","91bae768-5761-4f3a-9578-5cb1b19878cb","1","Update","App\Video","32","App\Video","32","App\Video","32",,"finished",,"2020-10-10 08:42:03","2020-10-10 08:42:03","{""is_active"":false,""filename"":null}","{""is_active"":true,""filename"":""Mastering Nova - UI Component properties you can use.mp4""}"
"11","91bbfca2-b4a8-40bd-811b-be1a21f380b8","1","Update","App\Video","33","App\Video","33","App\Video","33",,"finished",,"2020-10-10 21:37:14","2020-10-10 21:37:14","{""title"":""Reusing default Nova UI Components"",""details"":""You want to create your UI component, but what if you want already to use a base one from Nova? Let's learn how to not re-invent the wheel"",""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""title"":""Reusing Nova UI Components"",""details"":""What if on your Tool we can reuse Nova Vue Components? Lets not re-invent the wheel then"",""is_active"":true,""duration"":711,""vimeo_id"":""466950177"",""filename"":""Mastering Nova - Reusing default Nova UI Components.mp4""}"
"12","91bc0305-8996-4799-af81-69e6da6a1664","1","Update","App\Video","31","App\Video","31","App\Video","31",,"finished",,"2020-10-10 21:55:05","2020-10-10 21:55:05","[]","[]"
"13","91c53993-e2a8-47ef-969a-3fbb0acd8713","1","Update","App\Video","34","App\Video","34","App\Video","34",,"finished",,"2020-10-15 11:50:05","2020-10-15 11:50:05","{""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""is_active"":true,""duration"":613,""vimeo_id"":""467171017"",""filename"":""Mastering Nova - Using $emit events.mp4""}"
"14","91ce22cc-5b0f-4ce8-9d62-7ae459f36f69","1","Update","App\Video","46","App\Video","46","App\Video","46",,"finished",,"2020-10-19 22:08:51","2020-10-19 22:08:51","{""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""is_active"":true,""duration"":466,""vimeo_id"":""469964875"",""filename"":""Mastering Nova - Button Field.mp4""}"
"15","91da5af6-6ee0-4f97-9617-0cd764c42041","1","Update","App\Video","35","App\Video","35","App\Video","35",,"finished",,"2020-10-25 23:55:50","2020-10-25 23:55:50","{""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""is_active"":true,""duration"":1794,""vimeo_id"":""472025908"",""filename"":""Mastering Nova - Pratical example with $emit on 2 Dropdowns.mp4""}"
"16","91de4089-6c5d-41eb-955d-64bc29135ca0","1","Update","App\Video","36","App\Video","36","App\Video","36",,"finished",,"2020-10-27 22:25:15","2020-10-27 22:25:15","{""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""is_active"":true,""duration"":883,""vimeo_id"":""472802328"",""filename"":""Mastering Nova - Lets build a Tool - Helpdesk System.mp4""}"
"17","91e27851-cf77-407d-bfc0-a23f63168b2a","1","Update","App\Video","37","App\Video","37","App\Video","37",,"finished",,"2020-10-30 00:44:32","2020-10-30 00:44:32","{""title"":""Sidebar Resource Cloning"",""details"":""I really like to use the Resource cloning logic. So, let's create the My Tickets, and the All Tickets resources. We could do it too using a Filter, but it would have been too simple :)"",""is_active"":false,""is_free"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""title"":""Managing Ticket permissions and authorizations"",""details"":""Lets continue to create the Tool but now implementing the correct authorization and operator permissions, and see impacts of when to use the right approach or not."",""is_active"":true,""is_free"":true,""duration"":1154,""vimeo_id"":""473656340"",""filename"":""Mastering Nova - Managing Tickets Permissions and Authorizations.mp4""}"
"18","91ee4b82-f515-4343-ae61-fc9594babb7d","1","Update","App\Video","38","App\Video","38","App\Video","38",,"finished",,"2020-11-04 21:49:11","2020-11-04 21:49:11","{""title"":""Creating the Assign Ticket action"",""details"":""After having our All Tickets Resource index, we need to create an action to fetch tickets to our queue to work on them"",""is_active"":false,""duration"":null,""vimeo_id"":null,""filename"":null}","{""title"":""Creating a quick My Tickets \/ Unassigned Filter"",""details"":""Lets create a quick filter just to have the Operator having filters his tickets by the ones assigned to himself or unassigned ones"",""is_active"":true,""duration"":334,""vimeo_id"":""475269589"",""filename"":""Mastering Nova - Creating a quick My Tickets-Unassigned Filter.mp4""}"
